CreatureName,Script
Moon Walker,It's a beautiful dance. All at once deadly and mesmerizing.
Naga Mistress,I don't need to hear your excuses!
Pale Dragon,Tweet tweet
Pegasus Lord,Only those pure of heart unbroken of body can approach me.
Satyr Sentry,"When the horn sounds, you will be engulfed by nature's wrath."
Treant Elder,I have lived for many ages and will live for many more.
Valkyrie,"Do not fear death, Hero. I shall guide you to Valhalla in your afterlife."
Arcane Hunter,Your pitiful magics will not work on me.
Arcane Master,I will not hurt you but I will make you wish I had.
Border Guard,Halt! You should not be here!
Chimera,Don't resist. You'll just die tired.
Cleric ,I'm tired of war but I cannot live without the thrill of battle.
Colossus,"Oh gods, I hope they don't talk to me."
Dame Coldfire,No amount of heat exists to warm my heart.
Grand Mage,I discovered the secret to eternal youth hundreds of years ago.
Griffi-Knight,My lance or his claws. Your choice.
Icy Mage,"Ice is always pure and pristine, unlike the heart of humans."
Juggernaut,"Give in to the inevitable, little one. You know it's hopeless."
Mariner,I'll destroy anyone in my way.
Michael,I destroy for the sake of creation!
Oracle,Arise and be renewed.
Paladin,"A pious hermit, a faithful guardian, a vicious killer."
Prima Donna,I sense the flames of desire burning within you.
Royal Dancer,Look at me… Come closer… closer…
Royal Dragon,ROARRR!
Royal Knight,You will never be able to stop me.
Sentry Angel,"Trust in me, trust in my blessing."
Seraph,"""Gods, Gods, Gods"""
Swordmaster,"With my sword in hand, I feel no fear."
Techno-Chief,"You cannot defeat me, for I never fight alone!"
Bloody Lord,"In the face of death, nothing is sweeter than the last gasps of hope."
Cave Dragon,"Like a petal to a flame, I will swallow you!"
Delilah,It is but an illusion…
Demonic Templar,"Whether you live or die, it's up to me to decide."
Dullahan,We die with honor!
Eye of Jonara,You will lose your mind in the embrace of darkness.
Ghostly Judge,All are equal before the hand of justice!
Harbinger,Live or die with honor.
Hell Knight,My hatred and rage will not be contained!
Hellwolf,"Such strong, pure souls… They would taste so sweet."
Lycanthrope,"I've come to drag you into the abyss, where eternal despair awaits you…"
Pit Lord,"With the Key, I shall sing the song that ends the world."
Pit Priest,"The Mortii have been blessed, and I hope to receive that same blessing."
Plague Dragon,Death is the only answer to Life.
Queen Temptress,"Look at me, darling. I'll give you everything you've ever dreamed of."
The Puppeteer,Your soul is a fitting sacrifice.
Cyclops,The great eye sees only despair.
Fenrir,"What's more beautiful than full dark, no stars?"
Flame Master,Seeing fresh blood always gets me excited.
Graboid,Death is only the beginning.
Griffin Rider,Attack! Defeat these scum!
Howling King,"Talk is cheap. Here, we settle things by the sword!"
Icy Huntress,The arrow will die once if finds its mark.
Kirin,Puny humans! You dare challenge me? I'll swallow you whole!
Mammoth Rider,The hills will tremble at the sight of me!
Neamazon,The world will bend to my will!
Nean Raptor,"Step forth, and discover the true meaning of fear."
Neander Giant,I cannot be surpassed. I am above all.
Ophiuchus,What? You thought I was Medusa? Don't confuse me with that hussy!
Panther Chief,Nothing can stop me from getting my revenge.
Tauro General,I will destroy you before uou destroy us all.
Tauros Elder,You are no different from those I have crushed.
The Twins,"Heh heh, can you tell us apart?"
Ursa Major,What sound will your neck make when I snap it in two. I wonder…
Warband Chief,We revere the art of war.
Wolveria,The alpha wolf has awakened… None escape its relentless pursuit.
Alice,I shall purge the darkness within you!
Arcane Knight,The law of nature is all-encompassing.
Aries,
Ash Beast,Who can stand before me?
Axe Warden,I'll pound you into mincemeat!
Blood Elf,"When I cleanse the land of evil, the Moon Goddess will restore it to the way it was."
Blossoms,Pick on someone your own size!
Chrono,I hold absolute control over your time.
Demeter,Let's celebrate the bountiful harvest!
Dragonlord,I love the color blue because it reminds me of cold and sadness.
Fae Firstborn,The Faen may love peace but we are not cowards.
Fairy Fencer,None have witnessed my dance and live to tell the tale!
Gaia,"I am the mother of Earth. The soil is my body, the rocks my bones."
Hanuman,The gods have granted me dominion over you!
Hippolyta,The single moment of clarity when life passes into death…
Libra,… and justice for all
Lucky Sage,Lucky you! You get to meet the wonderful me!
Mimir's Tree,… (silent tree)
Moon Guardian,"By the Moon, I shall strike you down!"
Ordnance,"Energy Level: Max
Commencing Attack in 5, 4…"
Phoenix,"Life, death, rebirth. That is the eternal cycle."
Sagittarius,"It only takes three arrows to slay you. The first punctures your lungs, the second boils your blood, and the third reduces you to ashes."
Santa Claudia,Merry X-mas
Sea Wizard,True peace can only be found among these turbulent waves.
Yggdryad,I remember everything through eons uncountable…
Angel Prime,I will rid this world of all blasphemy.
Arcane Sage,I'm proficient at both spell and sword. Would you like to try?
Archdeva,Banish the darkness and revel in the light!
Ares,It is a good day to die.
Azure Dragon,Close your eyes and feel my power coursing through your veins!
Balthazar,I am the hand of the gods!
Bewitcher,Both of us are doing well. There's two of us here!
Cancer,"Body of iron, mind of steel."
Columbus,Let's explore the seas and discover a new world!
Demon Hunter,
Fafnir,The Dragons rule the skies!
Great Mystic,"Arise, warrior of the light."
Hera,
Imperator,"Take a well-deserved break, I'll handle the rest."
Kirtana,Underestimating me will be the last mistake you make.
Lady Bloom,
Lady Liberty,May the Gods bless you.
Leo,"I will never surrender, even in death!"
Mythril Drone,"I have no soul for you to take, but you have one fore me."
Paragon,I sentence you to permanent mortality. You shall never see a day beyound your intended lifespan.
Pontiff,Everyone is a sinner and I am the judge.
Pyramus,
Royal Beastmaster,Ain't she a cutie?
Santa Baus,
Shinryu,Close your eyes and feel my power coursing through your veins!
Sylph,Can you hear the gentle whisper of the wind?
Thisbe,"Wherever you are, I'll be there for you."
Titania,Let us pray together.
Vindicator,I'll slice and I'll mice ya to pieces!
Anubis,I won’t stop until I reduce you to ashes!
Belphegor,Burn for eternity in the abyss!
Bloodletter,Don’t blink. You may find your heart between my fingers.
Chiroptera,Come feel Death’s cold embrace
Dahlia,May your ancestors protect you in the long nights ahead.
Death Knight,All hope will be buried along with your bones!
Death's Angel,Any last words?
Dusk Huntress,Hunting is my favorite pastime…
Gemini,Both of us are doing well. There’s two of us here!
Gorgon,"Grow, get stronger, and kill everyone who made you cry."
Jormungand,Grrrr… arrrrr…
Killer Queen,I will punish you for your sins.
Lich Lord,My army grows with every fallen foe!
Lilith,I’ll swallow your soul!
Lord Bones,I’ll cleanse this world of filth!
Magmus,Any who stand in my way will feel the full force of my wrath.
Octavius,An ancient ship lost at sea
Phantom Liege,The Sword will maintain the Balance.
Pisces,You’ll be dead before you spot me!
Pit Dragon,Pain will help you ignore your fear.
Revenant,Fear the sky! Fear the sound of wings beating on air!
Snow Harlot,This graveyard is my home. This coffin is my bed.
Spirit Siren,I will kill you without hesitation.
Terror Dragon,Feel the hopelessness and fear.
Thalassa,Nothing is more stimulating than slowly rending someone’s soul.
Undying Will,I will not hesitate to unleash the beast within!
Virgo,"Be careful, Virgil is angry!"
Abaddon,"Without freedom, there will always be war!"
Anathema,I will shred your corpse and suck your veins dry.
Basilisk,You pitiful creatures are nothing more than food!
Capricorn,Heh! There won’t be anything left when I’m done with you!
Cosmic Hare,I’ll clobber you with my carrots!
Easter Bunny,A new beginning!
Granite Dragon,"My Lord, I shall guard you with my life…"
Kitsune,"Let’s have a little chat shall we, my dear?"
Kumiho,Hey… don’t stare at me so much… please?
Lava Wyrm,Screech!
Nidhogg,Darkness is upon us The Black Eye shall see all!
Night's Slayer,The darkness is my veil.
Oinari,Time for Ivory and me to come out and play!
Quetzalcoatl,Only fools do not tremble in the face of true fear.
Ridge Hunter,"To me, dragons are merely pets."
Scorpio,I always get my prey.
Sekhmet,All glory is mine!
Soul Shrew,Are you afraid of bats?
Spider Queen,Purify your flesh and await death with a clear mind.
Taurus,Don’t be shy. Look into my eyes.
Tidal Siren,Care to join me in the dance?
Venom Tyrant,Don’t say anything about the poison. I mean it.
Year Beast,I haven’t tasted fresh meat in decades. How I miss those days…
Yeti,Feel the frigid winds of the Ice Ages!
